"","ngrams","nappear"
"1","client chez depuis plus an",3
"2","client chez groupam depuis plus",3
"3","goélet don silvano mor bihan",3
"4","jour plus tard toujour rien",3
"5","oblig aller chez partenair groupam",3
"6","accueil cap larg abordag gourmet",2
"7","alor client depuis plus an",2
"8","appel plusieur fois avoir bon",2
"9","apres avoir vain tent joindr",2
"10","apres plus an chez groupam",2
"11","assur auto beaucoup trop cher",2
"12","assur auto trop cher rapport",2
"13","assur chez depuis nombreux anné",2
"14","assur chez groupam depuis an",2
"15","assur depuis plus an chez",2
"16","aupres conseil groupam plus proch",2
"17","auto trop cher rapport concurrent",2
"18","cap larg abordag gourmet entrepris",2
"19","capabl fair gest commercial prendr",2
"20","cel fait plus an chez",2
"21","cel fait plus mois voitur",2
"22","chez groupam depuis nombreux anné",2
"23","client chez depuis an aucun",2
"24","client fidel depuis plus an",2
"25","conseil groupam plus proch résident",2
"26","conseiller fait tres bien travail",2
"27","contrat trait groupam jour répons",2
"28","del rembours beaucoup trop long",2
"29","del trait sinistr trop long",2
"30","del trop long entre accident",2
"31","demand détaill contrat trait groupam",2
"32","demand relev inform toujour rien",2
"33","depuis plus an chez aucun",2
"34","détaill contrat trait groupam jour",2
"35","dev moin cher mêm garant",2
"36","envoi recommand expliqu problem rencontr",2
"37","être mis dev fait accompl",2
"38","exempl jeun conducteur désign contrat",2
"39","expliqu problem rencontr demand détaill",2
"40","fair simpl quand peu fair",2
"41","fais chang par bris chez",2
"42","franchis malgr plusieur anné sinistr",2
"43","goutt eau fait débord vas",2
"44","groupam jour répons rav pouvoir",2
"45","groupam prend compt fidel client",2
"46","jour répons rav pouvoir entreten",2
"47","larg abordag gourmet entrepris plus",2
"48","ni plus ni moin autr",2
"49","person contact fair point situat",2
"50","plus accueil cap larg abordag",2
"51","pouvoir entreten mr franc tomin",2
"52","problem rencontr demand détaill contrat",2
"53","quand ca va ca va",2
"54","rappel plusieur fois servic sinistr",2
"55","rapproch aupres conseil groupam plus",2
"56","rav pouvoir entreten mr franc",2
"57","recommand expliqu problem rencontr demand",2
"58","rencontr demand détaill contrat trait",2
"59","répons rav pouvoir entreten mr",2
"60","si besoin rien ven chez",2
"61","si pouv vrai rien fair",2
"62","simpl quand peu fair compliqu",2
"63","sinistr manqu toujour quelqu chos",2
"64","suit accident voitur dont respons",2
"65","tant problem tout va bien",2
"66","temp trait dossi trop long",2
"67","toujour relanc fair avanc chos",2
"68","tous contrat chez depuis an",2
"69","tout assur chez maison voitur",2
"70","trait dossi trop long plusieur",2
"71","trait groupam jour répons rav",2
"72","trop long entre accident clôtur",2
"73","trouv beaucoup moin cher ailleur",2
"74","trouv del trop long entre",2
"75","á chaqu fois á chaqu",1
"76","á chaqu fois répons peu",1
"77","aad phénix pourr mettr encor",1
"78","aavec yyyyyyyyyyyyyyy bureau chatillon chalaron",1
"79","ab depuis septembr apre retour",1
"80","ab malad satisfair rv mme",1
"81","abandon comm si sav ger",1
"82","abandon kry prof atoll autr",1
"83","abandon pratiqu commercial publicitair prof",1
"84","abandon sort contact just parc",1
"85","abandon tout risqu profit fair",1
"86","abandon trist sort const oblig",1
"87","abandon trist sort tres coler",1
"88","abandon vieux contrat formul souscrir",1
"89","abber aucun cas demand in",1
"90","abces implant dev bouch dal",1
"91","aberr attend depuis plus mois",1
"92","aberr aucun coordin entre bureau",1
"93","aberr aut désaccord sein assur",1
"94","abîm coût euros pos pens",1
