"","findMostFreqTerms.tf..n...100."
"chez groupam depuis plus an",5
"client chez depuis plus an",3
"client chez groupam depuis plus",3
"client groupam depuis nombreux anné",3
"goélet don silvano mor bihan",3
"jour plus tard toujour rien",3
"oblig aller chez partenair groupam",3
"accueil cap larg abordag gourmet",2
"alor client depuis plus an",2
"appel plusieur fois avoir bon",2
"apres avoir vain tent joindr",2
"apres plus an chez groupam",2
"assur auto beaucoup trop cher",2
"assur auto trop cher rapport",2
"assur chez depuis nombreux anné",2
"assur chez groupam depuis an",2
"assur depuis plus an chez",2
"aupres conseil groupam plus proch",2
"auto trop cher rapport concurrent",2
"cap larg abordag gourmet entrepris",2
"capabl fair gest commercial prendr",2
"cel fait plus an chez",2
"cel fait plus mois voitur",2
"chez groupam depuis nombreux anné",2
"client chez depuis an aucun",2
"client fidel depuis plus an",2
"client groupam depuis plus an",2
"conseil groupam plus proch résident",2
"conseiller fait tres bien travail",2
"contact groupam fair point situat",2
"contrat trait groupam jour répons",2
"del rembours beaucoup trop long",2
"del trait sinistr trop long",2
"del trop long entre accident",2
"demand détaill contrat trait groupam",2
"demand relev inform toujour rien",2
"depuis plus an chez aucun",2
"depuis plus an chez groupam",2
"détaill contrat trait groupam jour",2
"dev moin cher mêm garant",2
"envoi recommand expliqu problem rencontr",2
"être mis dev fait accompl",2
"exempl jeun conducteur désign contrat",2
"expliqu problem rencontr demand détaill",2
"fair simpl quand peu fair",2
"fais chang par bris chez",2
"franchis malgr plusieur anné sinistr",2
"goutt eau fait débord vas",2
"groupam jour répons rav pouvoir",2
"groupam prend compt fidel client",2
"jour répons rav pouvoir entreten",2
"larg abordag gourmet entrepris plus",2
"ni plus ni moin autr",2
"person contact fair point situat",2
"plus accueil cap larg abordag",2
"pouvoir entreten mr franc tomin",2
"problem rencontr demand détaill contrat",2
"quand ca va ca va",2
"rappel plusieur fois servic sinistr",2
"rapproch aupres conseil groupam plus",2
"rav pouvoir entreten mr franc",2
"recommand expliqu problem rencontr demand",2
"rencontr demand détaill contrat trait",2
"répons rav pouvoir entreten mr",2
"si besoin rien ven chez",2
"si pouv vrai rien fair",2
"simpl quand peu fair compliqu",2
"sinistr manqu toujour quelqu chos",2
"suit accident voitur dont respons",2
"tant problem tout va bien",2
"temp trait dossi trop long",2
"toujour relanc fair avanc chos",2
"tous contrat assur chez groupam",2
"tous contrat chez depuis an",2
"tout assur chez maison voitur",2
"trait dossi trop long plusieur",2
"trait groupam jour répons rav",2
"trop long entre accident clôtur",2
"trouv beaucoup moin cher ailleur",2
"trouv del trop long entre",2
"á chaqu fois á chaqu",1
"á chaqu fois répons peu",1
"aad phénix pourr mettr encor",1
"aavec yyyyyyyyyyyyyyy bureau chatillon chalaron",1
"ab depuis septembr apre retour",1
"ab malad satisfair rv mme",1
"abandon comm si sav ger",1
"abandon kry prof atoll autr",1
"abandon pratiqu commercial publicitair prof",1
"abandon sort contact just parc",1
"abandon tout risqu profit fair",1
"abandon trist sort const oblig",1
"abandon trist sort tres coler",1
"abandon vieux contrat formul souscrir",1
"abber aucun cas demand in",1
"abces implant dev bouch dal",1
"aberr attend depuis plus mois",1
"aberr aucun coordin entre bureau",1
"aberr aut désaccord sein assur",1
"abîm coût euros pos pens",1
