"","findMostFreqTerms.tf..n...100."
"tres",10817
"rapid",8564
"bon",7964
"accueil",5712
"bien",5233
"groupam",4631
"servic",4121
"conseil",3969
"efficac",3426
"demand",3194
"tout",2863
"agenc",2802
"toujour",2700
"assur",2669
"écout",2650
"pris",2634
"répons",2632
"conseiller",2584
"person",2495
"satisf",2465
"tre",2136
"satisfait",2056
"sinistr",2034
"car",1978
"contrat",1975
"charg",1965
"trait",1934
"plus",1932
"contact",1912
"rembours",1884
"téléphon",1866
"parc",1856
"fait",1744
"réactiv",1643
"dossi",1631
"compétent",1559
"problem",1551
"expliqu",1468
"client",1458
"reçu",1437
"renseign",1348
"clair",1290
"qualit",1276
"agréabl",1242
"tarif",1225
"chez",1144
"attent",1140
"fair",1103
"avoir",1098
"question",1091
"depuis",1076
"personnel",1074
"prix",1067
"peu",1022
"suit",1000
"not",968
"aucun",894
"compt",880
"parf",832
"suiv",829
"rien",802
"trouv",798
"prestat",786
"mis",774
"besoin",772
"autr",763
"pass",754
"disponibil",749
"regl",741
"rapport",728
"cel",716
"part",711
"disponibl",709
"del",707
"temp",699
"si",695
"inform",693
"an",684
"jam",684
"excellent",663
"trop",663
"simpl",653
"fois",649
"mail",648
"don",639
"jour",637
"véhicul",633
"donc",625
"être",625
"correct",614
"sympath",607
"dev",606
"chang",590
"répar",587
"appel",576
"voitur",565
"opticien",551
"anné",545
"cher",535
"attest",534
