"","ngrams","nappear"
"1","tres bon accueil tres bon",54
"2","tout s tres bien pass",32
"3","tres bon accueil bon conseil",25
"4","bon accueil tres bon conseil",21
"5","tres bon accueil expliqu clair",21
"6","tres bien reçu tres bien",13
"7","parc tout s bien pass",12
"8","tres bon accueil bon expliqu",11
"9","tres bon accueil répons rapid",11
"10","bon accueil expliqu tres clair",9
"11","mis not car tres bien",9
"12","tres bien accueil tres bien",9
"13","tres bon accueil bon écout",8
"14","tres bon accueil renseign clair",8
"15","tres bon accueil tres bien",8
"16","bien accueil tres bien renseign",7
"17","bien reçu tres bien conseil",7
"18","demand pris compt tres rapid",7
"19","tout s tres bien déroul",7
"20","tres bon accueil téléphon rapid",7
"21","tres bon accueil tres professionnel",7
"22","tres bon rapport qualit prix",7
"23","bon accueil tres bon écout",6
"24","bon accueil tres bon expliqu",6
"25","depuis plus an jam problem",6
"26","pris charg sinistr tres rapid",6
"27","toujour bien accueil bien conseil",6
"28","tres bien accueil bien renseign",6
"29","tres bien reçu expliqu clair",6
"30","tres bon accueil bon renseign",6
"31","tres bon accueil expliqu tres",6
"32","assur chez groupam depuis plus",5
"33","bien reçu tres bien renseign",5
"34","bon accueil bon conseil bon",5
"35","bon accueil expliqu clair précis",5
"36","bon accueil pris charg rapid",5
"37","bon accueil pris compt demand",5
"38","bon accueil renseign clair prec",5
"39","bon accueil tres bon renseign",5
"40","bon accueil tres bon servic",5
"41","bon conseil tres bon accueil",5
"42","chez groupam depuis plusieur anné",5
"43","depuis nombreux anné chez groupam",5
"44","person s occup dossi tres",5
"45","person téléphon tres agréabl tres",5
"46","tout s tre bien pass",5
"47","tre bon accueil tre bon",5
"48","tres bon accueil téléphon efficac",5
"49","tres bon contact tres bon",5
"50","bon accueil agenc tres bon",4
"51","bon accueil bon écout bon",4
"52","bon accueil bon pris charg",4
"53","bon accueil demand trait rapid",4
"54","bon accueil répons tout question",4
"55","bon accueil tre bon conseil",4
"56","bon accueil tres bien renseign",4
"57","bon accueil tres bon réactiv",4
"58","bon pris charg rapid efficac",4
"59","cel fait an assur chez",4
"60","conseiller bien pris compt demand",4
"61","groupam depuis tres nombreux anné",4
"62","mis not car tres satisf",4
"63","not car tres bien reçu",4
"64","pris charg rapid efficac sinistr",4
"65","sinistr pris charg tres rapid",4
"66","toujour bien reçu bien renseign",4
"67","toujour tres bien reçu agenc",4
"68","toujour tres bien reçu renseign",4
"69","tre bon accueil bon conseil",4
"70","tre bon accueil tres bon",4
"71","tres agréabl expliqu tres clair",4
"72","tres bien accueil téléphon tres",4
"73","tres bien reçu bien conseil",4
"74","tres bien reçu personnel agenc",4
"75","tres bien renseign tres bien",4
"76","tres bon accueil bien conseil",4
"77","tres bon accueil bon pris",4
"78","tres bon accueil conseiller tres",4
"79","tres bon accueil écout client",4
"80","tres bon accueil person compétent",4
"81","tres bon accueil person tres",4
"82","tres bon accueil pris compt",4
"83","tres bon accueil rapid trait",4
"84","tres bon accueil téléphon bon",4
"85","tres bon accueil téléphon conseil",4
"86","tres bon accueil téléphon tres",4
"87","tres bon conseil part conseiller",4
"88","tres bon pris charg demand",4
"89","tres bon servic tres bon",4
"90","tres bon suiv dossi tres",4
"91","tres professionnel tres bon accueil",4
"92","accueil agenc tres bon conseil",3
"93","accueil bon répons question pos",3
"94","accueil tres agréabl tres professionnel",3
